"locationID","startDate","endDate","controlNumber","segmentNumber","controlActivationState"
"HOPB","2017-09-21T16:00","2017-09-21T16:00",1,1,1
"HOPB","2017-09-21T16:00","2017-09-21T16:00",1,2,0
"HOPB","2017-09-21T16:00","2017-09-21T16:00",1,3,0
"HOPB","2017-09-21T16:00","2017-09-21T16:00",2,1,0
"HOPB","2017-09-21T16:00","2017-09-21T16:00",2,2,1
"HOPB","2017-09-21T16:00","2017-09-21T16:00",2,3,0
"HOPB","2017-09-21T16:00","2017-09-21T16:00",3,1,0
"HOPB","2017-09-21T16:00","2017-09-21T16:00",3,2,0
"HOPB","2017-09-21T16:00","2017-09-21T16:00",3,3,1
