field_domain_id,field_site_id,field_site_type
D16,ABBY,Gradient Terrestrial
D10,ARIK,Core Aquatic
D03,BARC,Core Aquatic
D18,BARR,Gradient Terrestrial
D01,BART,Gradient Terrestrial
D17,BIGC,Gradient Aquatic
D02,BLAN,Gradient Terrestrial
D12,BLDE,Core Aquatic
D11,BLUE,Gradient Aquatic
D08,BLWA,Gradient Aquatic
D19,BONA,Core Terrestrial
D19,CARI,Core Aquatic
D11,CLBJ,Core Terrestrial
D13,COMO,Core Aquatic
D10,CPER,Core Terrestrial
D05,CRAM,Core Aquatic
D04,CUPE,Core Aquatic
D09,DCFS,Gradient Terrestrial
D19,DEJU,Gradient Terrestrial
D08,DELA,Gradient Terrestrial
D03,DSNY,Gradient Terrestrial
D03,FLNT,Gradient Aquatic
D07,GRSM,Gradient Terrestrial
D04,GUAN,Core Terrestrial
D04,GUIL,Gradient Aquatic
D01,HARV,Core Terrestrial
D19,HEAL,Gradient Terrestrial
D01,HOPB,Core Aquatic
D03,JERC,Gradient Terrestrial
D14,JORN,Gradient Terrestrial
D06,KING,Core Aquatic
D06,KONA,Gradient Terrestrial
D06,KONZ,Core Terrestrial
D04,LAJA,Gradient Terrestrial
D07,LECO,Gradient Aquatic
D08,LENO,Gradient Terrestrial
D02,LEWI,Gradient Aquatic
D05,LIRO,Gradient Aquatic
D16,MART,Core Aquatic
D08,MAYF,Core Aquatic
D06,MCDI,Gradient Aquatic
D16,MCRA,Gradient Aquatic
D07,MLBS,Gradient Terrestrial
D13,MOAB,Gradient Terrestrial
D13,NIWO,Core Terrestrial
D09,NOGP,Gradient Terrestrial
D11,OAES,Gradient Terrestrial
D18,OKSR,Core Aquatic
D15,ONAQ,Core Terrestrial
D07,ORNL,Core Terrestrial
D03,OSBS,Core Terrestrial
D02,POSE,Core Aquatic
D11,PRIN,Core Aquatic
D09,PRLA,Gradient Aquatic
D09,PRPO,Core Aquatic
D20,PUUM,Core Terrestrial
D15,REDB,Core Aquatic
D10,RMNP,Gradient Terrestrial
D02,SCBI,Core Terrestrial
D02,SERC,Gradient Terrestrial
D17,SJER,Core Terrestrial
D17,SOAP,Gradient Terrestrial
D14,SRER,Core Terrestrial
D05,STEI,Gradient Terrestrial
D10,STER,Gradient Terrestrial
D03,SUGG,Core Aquatic
D14,SYCA,Core Aquatic
D08,TALL,Core Terrestrial
D17,TEAK,Gradient Terrestrial
D17,TECR,Core Aquatic
D08,TOMB,Gradient Aquatic
D18,TOOK,Gradient Aquatic
D18,TOOL,Core Terrestrial
D05,TREE,Gradient Terrestrial
D06,UKFS,Gradient Terrestrial
D05,UNDE,Core Terrestrial
D07,WALK,Core Aquatic
D13,WLOU,Gradient Aquatic
D09,WOOD,Core Terrestrial
D16,WREF,Core Terrestrial
D12,YELL,Core Terrestrial
