"","name","latitude","longitude","easting","northing","elevationM","mapCode","E","N","H","DistanceRaw","DistanceAdj","gaugeHeight","ID"
"1","DSC_RB_PIN",18.11017122,-66.98646596,713060.8527,2003538.603,151.828841,"Transect_DSC",-10.949344,34.599525,999.79162,1.71154743299185,0,2.16,1
"2","DSC_XS",18.11018401,-66.98645688,713061.7982,2003540.029,151.718919,"Transect_DSC",-9.251334,34.814366,999.681698,0,-1.71154743299185,2.05,2
"3","DSC_XS2",18.11019123,-66.98644982,713062.5363,2003540.837,151.359071,"Transect_DSC",-8.157526,34.782352,999.32185,1.0942763988408,-0.617271034151049,1.69,3
"4","DSC_XS3",18.11019744,-66.98644703,713062.8249,2003541.528,151.202147,"Transect_DSC",-7.445175,35.015149,999.164926,1.81728482808007,0.105737395088215,1.53,4
"5","DSC_XS4",18.11020259,-66.98644444,713063.0922,2003542.101,150.996984,"Transect_DSC",-6.836828,35.186403,998.959763,2.44300035886305,0.731452925871199,1.33,5
"6","DSC_XS5",18.11020403,-66.98644406,713063.1309,2003542.26,150.795414,"Transect_DSC",-6.690798,35.261138,998.758193,2.59922100393176,0.887673570939903,1.13,6
"7","DSC_XS6",18.11020807,-66.98644166,713063.3798,2003542.71,150.688341,"Transect_DSC",-6.186957,35.366653,998.65112,3.11374811577591,1.40220068278405,1.02,7
"8","DSC_XS7",18.11021191,-66.98643891,713063.6664,2003543.138,150.64351,"Transect_DSC",-5.675714,35.428836,998.606289,3.62803414610447,1.91648671311262,0.97,8
"9","DSC_XS8",18.11021407,-66.98643792,713063.7685,2003543.379,150.63141,"Transect_DSC",-5.426658,35.508605,998.594189,3.88717304658501,2.17562561359316,0.96,9
"10","DSC_RFH",18.11021527,-66.98643776,713063.7845,2003543.512,150.420197,"Transect_DSC",-5.315669,35.583212,998.382976,4.01006024442788,2.29851281143603,0.75,10
"11","DSC_XS9",18.11021749,-66.98643681,713063.8823,2003543.759,150.400053,"Transect_DSC",-5.064429,35.670573,998.362832,4.27355401344993,2.56200658045808,0.73,11
"12","DSC_XS10",18.11022064,-66.98643532,713064.0365,2003544.109,150.261896,"Transect_DSC",-4.698431,35.78235,998.224675,4.65466634160441,2.94311890861256,0.59,12
"13","DSC_XS11",18.11022375,-66.98643218,713064.365,2003544.457,150.234683,"Transect_DSC",-4.220218,35.760705,998.197462,5.1193442654677,3.40779683247584,0.57,13
"14","DSC_XS12",18.11022607,-66.98643068,713064.521,2003544.716,150.237005,"Transect_DSC",-3.922141,35.811534,998.199784,5.421682584906,3.71013515191415,0.57,14
"15","DSC_XS13",18.11022838,-66.98642964,713064.6274,2003544.973,150.168971,"Transect_DSC",-3.65812,35.898512,998.13175,5.69731650859525,3.9857690756034,0.5,15
"16","DSC_XS14",18.11023087,-66.98642788,713064.8106,2003545.251,150.210301,"Transect_DSC",-3.328033,35.941059,998.17308,6.0295051084521,4.31795767546025,0.54,16
"17","DSC_RBF",18.11023202,-66.98642721,713064.8809,2003545.379,150.120619,"Transect_DSC",-3.185068,35.971532,998.083398,6.1756470377048,4.46409960471294,0.45,17
"18","DSC_XS15",18.11023422,-66.98642591,713065.0154,2003545.624,149.917104,"Transect_DSC",-2.911577,36.029608,997.879883,6.45517869137741,4.74363125838556,0.25,18
"19","DSC_XS16",18.11023724,-66.98642364,713065.2527,2003545.961,149.886611,"Transect_DSC",-2.501315,36.069758,997.84939,6.86576766094113,5.15422022794928,0.22,19
"20","DSC_XS17",18.11024058,-66.98642114,713065.5131,2003546.333,149.924241,"Transect_DSC",-2.049381,36.115335,997.88702,7.3185140126374,5.60696657964555,0.25,20
"21","DSC_XS18",18.11024427,-66.98641827,713065.812,2003546.745,149.974783,"Transect_DSC",-1.542065,36.15786,997.937562,7.8254587496451,6.11391131665324,0.31,21
"22","DSC_REW",18.11024525,-66.98641797,713065.8424,2003546.854,149.728286,"Transect_DSC",-1.439728,36.205904,997.691065,7.93458041138156,6.22303297838971,0.06,22
"23","DSC_XS19",18.11024709,-66.98641681,713065.9637,2003547.059,149.678745,"Transect_DSC",-1.205048,36.24796,997.641524,8.17299884685126,6.46145141385941,0.01,23
"24","DSC_XS20",18.11024822,-66.98641572,713066.0775,2003547.185,149.670321,"Transect_DSC",-1.035088,36.244208,997.6331,8.33973299797302,6.62818556498117,0,24
"25","DSC_XS21",18.11025039,-66.98641471,713066.1811,2003547.426,149.630715,"Transect_DSC",-0.784909,36.322948,997.593494,8.59977743498917,6.88823000199732,-0.04,25
"26","DSC_XS22",18.11025258,-66.98641294,713066.3658,2003547.671,149.568511,"Transect_DSC",-0.478518,36.343102,997.53129,8.90501736817801,7.19346993518616,-0.1,26
"27","DSC_XS23",18.11025447,-66.98641213,713066.45,2003547.88,149.558292,"Transect_DSC",-0.264995,36.41596,997.521071,9.12794565955325,7.4163982265614,-0.11,27
"28","DSC_XS24",18.11025635,-66.98641075,713066.5934,2003548.09,149.514797,"Transect_DSC",-0.012366,36.444313,997.477576,9.38164468138892,7.67009724839707,-0.15,28
"29","DSC_THL",18.11025787,-66.98640931,713066.7439,2003548.26,149.494429,"Transect_DSC",0.214817,36.441361,997.457208,9.60495327863837,7.89340584564652,-0.17,29
"30","DSC_XS25",18.11025957,-66.98640798,713066.8826,2003548.45,149.510219,"Transect_DSC",0.449289,36.460281,997.472998,9.83926434116667,8.12771690817482,-0.16,30
"31","DSC_XS26",18.11026073,-66.98640734,713066.9491,2003548.58,149.544159,"Transect_DSC",0.590848,36.494401,997.506938,9.98454125748144,8.27299382448959,-0.13,31
"32","DSC_XS27",18.11026205,-66.98640646,713067.0405,2003548.727,149.592737,"Transect_DSC",0.762004,36.521256,997.555516,10.1577759068776,8.44622847388579,-0.08,32
"33","DSC_XS28",18.11026311,-66.98640542,713067.1494,2003548.845,149.615494,"Transect_DSC",0.922539,36.515781,997.578273,10.3151589819234,8.6036115489315,-0.05,33
"34","DSC_XS29",18.11026466,-66.98640444,713067.2509,2003549.018,149.760697,"Transect_DSC",1.119639,36.551629,997.723476,10.5154725855711,8.80392515257928,0.09,34
"35","DSC_XS30",18.11026562,-66.98640355,713067.3448,2003549.125,149.82761,"Transect_DSC",1.262756,36.550952,997.790389,10.6565388125552,8.94499137956338,0.16,35
"36","DSC_LBF",18.11026626,-66.98640302,713067.3993,2003549.197,150.000132,"Transect_DSC",1.352328,36.556214,997.962911,10.7457750890919,9.03422765610005,0.33,36
"37","DSC_XS31",18.11026718,-66.98640267,713067.4358,2003549.299,150.178954,"Transect_DSC",1.453597,36.595279,998.141733,10.8520596583474,9.1405122253555,0.51,37
"38","DSC_LFH",18.11026728,-66.98640193,713067.5138,2003549.311,150.37141,"Transect_DSC",1.513425,36.543789,998.334189,10.902795065533,9.19124763254111,0.7,38
"39","DSC_LB_PIN",18.11028453,-66.98638946,713068.8132,2003551.234,153.011941,"Transect_DSC",3.819165,36.815084,1000.97472,13.2227386204419,11.51119118745,3.34,39
