name,E,N,H,mapCode
SP_PERM_0.8M,31.677842,59.320074,997.990986,Gauge
SP_OLD_0.8M,30.392512,61.090183,997.908031,Gauge
DSC9,33.802594,55.050144,997.708611,Transect_DSC
DSC8,33.950308,55.117526,997.817309,Transect_DSC
DSC7,34.173227,55.238993,998.254513,Transect_DSC
DSC6,34.230211,55.385308,998.356295,Transect_DSC
DSC56,8.601511,54.245066,1000.970345,Transect_DSC
DSC55,10.516262,54.49194,1000.796989,Transect_DSC
DSC54,12.001111,54.757792,1000.546535,Transect_DSC
DSC53,13.819944,54.744497,1000.082137,Transect_DSC
DSC52,14.512002,54.760448,999.926515,Transect_DSC
DSC51,15.162267,54.83638,999.861992,Transect_DSC
DSC50,15.969058,54.689996,999.794232,Transect_DSC
DSC5,34.538947,55.478815,998.613022,Transect_DSC
DSC49,16.61687,54.619757,999.782581,Transect_DSC
DSC48,17.340033,54.489764,999.779659,Transect_DSC
DSC47,17.922197,54.269337,999.774834,Transect_DSC
DSC46,18.643861,53.975932,999.706448,Transect_DSC
DSC45,19.253282,53.727827,999.689022,Transect_DSC
DSC44,19.809566,53.728847,999.627731,Transect_DSC
DSC43,20.881257,53.549275,999.368437,Transect_DSC
DSC42,21.116837,53.506188,999.235064,Transect_DSC
DSC41,21.482106,53.399155,999.141736,Transect_DSC
DSC40,22.57258,53.228185,998.448095,Transect_DSC
DSC4,34.768968,55.54647,998.992359,Transect_DSC
DSC39,22.934369,53.338846,998.38525,Transect_DSC
DSC38,23.479943,53.345676,998.241681,Transect_DSC
DSC37,24.335133,53.393031,998.210517,Transect_DSC
DSC36,25.545915,53.311711,998.126764,Transect_DSC
DSC35,26.015773,53.35524,998.043504,Transect_DSC
DSC34,26.443194,53.384679,997.852536,Transect_DSC
DSC33,26.650241,53.415555,997.810142,Transect_DSC
DSC32,26.960559,53.43871,997.764774,Transect_DSC
DSC31,27.291528,53.43462,997.701628,Transect_DSC
DSC30,27.575339,53.443267,997.64972,Transect_DSC
DSC3,34.940335,55.592507,999.111996,Transect_DSC
DSC29,27.78986,53.43679,997.579797,Transect_DSC
DSC28,28.020315,53.507402,997.566803,Transect_DSC
DSC27,28.324668,53.572937,997.445375,Transect_DSC
DSC26,28.65437,53.607151,997.42229,Transect_DSC
DSC25,28.993679,53.730635,997.423042,Transect_DSC
DSC24,29.391638,53.826043,997.447696,Transect_DSC
DSC23,29.725178,53.856117,997.493074,Transect_DSC
DSC22,30.004076,53.91644,997.489432,Transect_DSC
DSC21,30.322762,53.995251,997.474847,Transect_DSC
DSC20,30.58957,54.09356,997.432289,Transect_DSC
DSC2,35.2267,55.697622,999.383199,Transect_DSC
DSC19,30.796905,54.171259,997.424144,Transect_DSC
DSC18,31.000343,54.240345,997.424526,Transect_DSC
DSC17,31.317643,54.304636,997.439807,Transect_DSC
DSC16,31.627852,54.429604,997.46758,Transect_DSC
DSC15,31.897096,54.473417,997.467457,Transect_DSC
DSC14,32.197502,54.545229,997.427937,Transect_DSC
DSC13,32.492263,54.650008,997.414627,Transect_DSC
DSC12,32.778009,54.759418,997.347972,Transect_DSC
DSC11,33.153785,54.877361,997.33596,Transect_DSC
DSC10,33.646137,55.010023,997.514654,Transect_DSC
DSC_THL,33.393938,54.943167,997.362063,Transect_DSC
DSC_RFW,20.511415,53.597259,999.492961,Transect_DSC
DSC_REW,26.317366,53.374077,997.909168,Transect_DSC
DSC_RBF,21.744872,53.304694,998.711354,Transect_DSC
DSC_LFW,35.112883,55.685798,999.255052,Transect_DSC
DSC_LEW,33.91084,55.129526,997.829717,Transect_DSC
DSC_LBF,34.384248,55.465399,998.459484,Transect_DSC
DSC,35.351319,55.719188,999.51302,Transect_DSC
